title,link,date,section
Tax Plan Sows Confusion as Tensions With Mexico Soar,https://www.nytimes.com/2017/01/26/us/politics/mexico-wall-tax-trump.html?searchResultPosition=30,2017/01/26,POLITICS
An Extremist Holding the Purse Strings,https://www.nytimes.com/2017/01/26/opinion/an-extremist-holding-the-purse-strings.html?searchResultPosition=31,2017/01/26,OPINION
Trump Strategist Stephen Bannon Says Media Should ‘Keep Its Mouth Shut’,https://www.nytimes.com/2017/01/26/business/media/stephen-bannon-trump-news-media.html?searchResultPosition=33,2017/01/26,MEDIA
"Even Before Trump Acts on Immigration, New Yorkers Protest",https://www.nytimes.com/2017/01/26/nyregion/new-york-protest-trump-immigration-orders.html?searchResultPosition=38,2017/01/26,NEW YORK
"With MoneyGram, China’s Ant Financial Gets an American Base",https://www.nytimes.com/2017/01/26/business/dealbook/with-moneygram-chinas-ant-financial-gets-an-american-base.html?searchResultPosition=35,2017/01/26,DEALBOOK
British Alignment With Trump Threatens European Order,https://www.nytimes.com/2017/01/26/world/europe/british-alignment-with-trump-threatens-european-order.html?searchResultPosition=36,2017/01/26,EUROPE
"Donald Trump, Syria, Chinese New Year: Your Morning Briefing",https://www.nytimes.com/2017/01/26/briefing/asia-australia-briefing.html?searchResultPosition=37,2017/01/26,BRIEFING
"Border Patrol Chief, an Agency Outsider, Is Stepping Down",https://www.nytimes.com/2017/01/26/us/politics/border-patrol-mark-morgan.html?searchResultPosition=28,2017/01/26,POLITICS
Faye Redux,https://www.nytimes.com/2017/01/26/books/review/rachel-cusk-talks-about-transit.html?searchResultPosition=39,2017/01/26,BOOK REVIEW
Republicans Now Marching With Trump on Ideas They Had Opposed,https://www.nytimes.com/2017/01/26/us/politics/trump-republican-retreat.html?searchResultPosition=34,2017/01/26,POLITICS
Was BuzzFeed Right to Publish the Russia File on Trump?,https://www.nytimes.com/2017/01/26/opinion/was-buzzfeed-right-to-publish-the-russia-file-on-trump.html?searchResultPosition=27,2017/01/26,OPINION
Why ‘1984’ Is a 2017 Must-Read,https://www.nytimes.com/2017/01/26/books/why-1984-is-a-2017-must-read.html?searchResultPosition=20,2017/01/26,BOOKS
Trump’s Call for a Voter Fraud Inquiry,https://www.nytimes.com/2017/01/26/opinion/trumps-call-for-a-voter-fraud-inquiry.html?searchResultPosition=25,2017/01/26,OPINION
Mr. Trump’s ‘Gag Rule’ Will Harm Global Health,https://www.nytimes.com/2017/01/26/opinion/mr-trumps-gag-rule-will-harm-global-health.html?searchResultPosition=11,2017/01/26,OPINION
"Making Mexico Pay for Border Wall: Ideas Abound, and So Do Obstacles",https://www.nytimes.com/2017/01/26/business/economy/mexico-pay-border-wall-trump.html?searchResultPosition=12,2017/01/26,ECONOMY
Bana al-Abed Writes Trump: ‘Please Save the Children and People of Syria’,https://www.nytimes.com/2017/01/26/world/middleeast/bana-al-abed-donald-trump-syria-refugee.html?searchResultPosition=13,2017/01/26,MIDDLE EAST
Voting Fraud Inquiry? The Investigators Got Burned Last Time,https://www.nytimes.com/2017/01/26/opinion/voting-fraud-inquiry-the-investigators-got-burned-last-time.html?searchResultPosition=14,2017/01/26,OPINION
How to Interpret the Trump Administration’s Latest Signals on Mexico,https://www.nytimes.com/2017/01/26/upshot/how-to-interpret-the-trump-administrations-latest-signals-on-mexico.html?searchResultPosition=15,2017/01/26,THE UPSHOT
"Nearly 8 Decades Later, an Apology for a Lynching in Georgia",https://www.nytimes.com/2017/01/26/us/lagrange-georgia-lynching-apology.html?searchResultPosition=16,2017/01/26,U.S.
Viceland’s ‘Rise’ Relives the Dakota Access Pipeline Protests,https://www.nytimes.com/2017/01/26/arts/television/vicelands-rise-relives-the-dakota-access-pipeline-protests.html?searchResultPosition=26,2017/01/26,TELEVISION
"Trump on Their Side, Conservatives See Hope in Lengthy Abortion Fight",https://www.nytimes.com/2017/01/26/us/politics/democrats-republicans-planned-parenthood.html?searchResultPosition=17,2017/01/26,POLITICS
"Mexico, Chinese New Year: Your Thursday Evening Briefing",https://www.nytimes.com/2017/01/26/briefing/mexico-chinese-new-year.html?searchResultPosition=19,2017/01/26,BRIEFING
"Good, Bad and Mad: Andrew Rosenthal on the News",https://www.nytimes.com/2017/01/26/insider/good-bad-and-mad-andrew-rosenthal-on-the-news.html?searchResultPosition=40,2017/01/26,TIMES INSIDER
"Rehearse, Ice Feet, Repeat: The Life of a New York City Ballet Corps Dancer",https://www.nytimes.com/2017/01/26/arts/dance/rehearse-ice-feet-repeat-the-life-of-a-new-york-city-ballet-corps-dancer.html?searchResultPosition=21,2017/01/26,DANCE
"‘Tough Times,’ but U.S. Investor Bets on Latin American Start-Ups",https://www.nytimes.com/2017/01/26/business/dealbook/tough-times-but-us-investor-bets-on-latin-american-start-ups.html?searchResultPosition=22,2017/01/26,DEALBOOK
"What Are Critics Saying About ‘Riverdale,’ CW’s Dark Archie Comics Drama?",https://www.nytimes.com/2017/01/26/watching/riverdale-what-are-critics-saying.html?searchResultPosition=23,2017/01/26,WATCHING
‘Perpetual Revolution’ Shows Artists Shaping Their Times,https://www.nytimes.com/2017/01/26/arts/design/perpetual-revolution-shows-artists-shaping-their-times.html?searchResultPosition=24,2017/01/26,ART & DESIGN
"Contrary to Trump’s Claims, Immigrants Are Less Likely to Commit Crimes",https://www.nytimes.com/2017/01/26/us/trump-illegal-immigrants-crime.html?searchResultPosition=18,2017/01/26,U.S.
"Elon Musk Has Trump’s Ear, and Wall Street Takes Note",https://www.nytimes.com/2017/01/26/business/elon-musk-donald-trump-wall-street.html?searchResultPosition=41,2017/01/26,BUSINESS
Mexico’s President Cancels Meeting With Trump Over Wall,https://www.nytimes.com/2017/01/26/world/mexicos-president-cancels-meeting-with-trump-over-wall.html?searchResultPosition=46,2017/01/26,AMERICAS
It’s Time to Pull the Plug on Trump’s Tweets,https://www.nytimes.com/2017/01/26/business/dealbook/its-time-to-pull-the-plug-on-trumps-tweets.html?searchResultPosition=43,2017/01/26,DEALBOOK
"Building to the Sky, With a Plan for Rising Waters",https://www.nytimes.com/2017/01/26/nyregion/resilient-design-american-copper-buildings-weather-flooding.html?searchResultPosition=65,2017/01/26,NEW YORK
How News on a Times-Affiliated Site Drew Praise From Glenn Beck,https://www.nytimes.com/2017/01/26/public-editor/times-affiliated-story-praise-glenn-beck-liz-spayd-public-editor.html?searchResultPosition=66,2017/01/26,PUBLIC EDITOR
Trump Follows Obama’s Lead in Flexing Executive Muscle,https://www.nytimes.com/2017/01/26/us/politics/donald-trump-barack-obama-executive-orders.html?searchResultPosition=67,2017/01/26,POLITICS
Q. and A.: How Trump’s Revival of an Abortion Ban Will Affect Women in Kenya,https://www.nytimes.com/2017/01/26/world/africa/trump-abortion-ban.html?searchResultPosition=68,2017/01/26,AFRICA
Trump to G.O.P. Gathering: Where’s My C.I.A. Director?,https://www.nytimes.com/2017/01/26/us/politics/donald-trump-administration.html?searchResultPosition=69,2017/01/26,POLITICS
Questions for: ‘How to Make America’s Robots Great Again’,https://www.nytimes.com/2017/01/26/learning/questions-for-how-to-make-americas-robots-great-again.html?searchResultPosition=70,2017/01/26,THE LEARNING NETWORK
"As Trump Thunders, G.O.P. Lawmakers Duck and Cover",https://www.nytimes.com/2017/01/26/us/politics/republicans-in-congress-tread-lightly-in-trumps-early-days.html?searchResultPosition=64,2017/01/26,POLITICS
The Radical Right’s United Front,https://www.nytimes.com/2017/01/26/opinion/the-radical-rights-united-front.html?searchResultPosition=71,2017/01/26,OPINION
Mike Pence Pulls President Trump’s Strings,https://www.nytimes.com/2017/01/26/opinion/mike-pence-pulls-president-trumps-strings.html?searchResultPosition=74,2017/01/26,OPINION
President Trump’s War on Women Begins,https://www.nytimes.com/2017/01/26/opinion/president-trumps-war-on-women-begins.html?searchResultPosition=75,2017/01/26,OPINION
A Lie by Any Other Name,https://www.nytimes.com/2017/01/26/opinion/a-lie-by-any-other-name.html?searchResultPosition=76,2017/01/26,OPINION
Abortion Foes Aim to Compete With Turnout for Women’s March,https://www.nytimes.com/2017/01/26/us/abortion-foes-compete-womens-march-turnout.html?searchResultPosition=77,2017/01/26,U.S.
"Corrections: January 26, 2017",https://www.nytimes.com/2017/01/26/pageoneplus/corrections-january-26-2017.html?searchResultPosition=78,2017/01/26,CORRECTIONS
"Somalia, Kim Jong-un, Australian Open: Your Thursday Briefing",https://www.nytimes.com/2017/01/26/briefing/europe-briefing.html?searchResultPosition=79,2017/01/26,BRIEFING
‘I Think Islam Hates Us’,https://www.nytimes.com/2017/01/26/opinion/i-think-islam-hates-us.html?searchResultPosition=72,2017/01/26,OPINION
Clinics for World’s Vulnerable Brace for Trump’s Anti-Abortion Cuts,https://www.nytimes.com/2017/01/26/world/africa/clinics-health-care-cuts-abortion-trump.html?searchResultPosition=63,2017/01/26,AFRICA
"Donald Trump, Venus Williams, Mary Tyler Moore: Your Thursday Briefing",https://www.nytimes.com/2017/01/26/briefing/us-briefing-donald-trump-venus-williams-mary-tyler-moore.html?searchResultPosition=62,2017/01/26,BRIEFING
"Morning Agenda: Dow 20,000, Trump and Ethics, a $30 Billion Deal",https://www.nytimes.com/2017/01/26/business/dealbook/dow-20000-trump-ethics-johnson-actelion.html?searchResultPosition=61,2017/01/26,DEALBOOK
"Illegal Voting Claims, and Why They Don’t Hold Up",https://www.nytimes.com/2017/01/26/upshot/illegal-voting-claims-and-why-they-dont-hold-up.html?searchResultPosition=44,2017/01/26,THE UPSHOT
New Prospects for Growing Human Replacement Organs in Animals,https://www.nytimes.com/2017/01/26/science/chimera-stemcells-organs.html?searchResultPosition=45,2017/01/26,SCIENCE
"Ahead of Theresa May’s Visit, Talk of Trade Deal Is Clouded by Politics",https://www.nytimes.com/2017/01/26/business/trump-trade-theresa-may-uk-britain.html?searchResultPosition=47,2017/01/26,BUSINESS
"Keystone XL Pipeline: A New Opening, but What Lies Ahead?",https://www.nytimes.com/2017/01/26/business/energy-environment/keystone-xl-pipeline.html?searchResultPosition=48,2017/01/26,ENERGY & ENVIRONMENT
Campuses Wary of Offering ‘Sanctuary’ to Undocumented Students,https://www.nytimes.com/2017/01/26/education/edlife/sanctuary-for-undocumented-students.html?searchResultPosition=49,2017/01/26,EDUCATION LIFE
Who Is Bernhard Langer?,https://www.nytimes.com/2017/01/26/sports/golf/bernhard-langer-donald-trump-voter-fraud.html?searchResultPosition=50,2017/01/26,GOLF
"Doomsday Clock Moves Closer to Midnight, Signaling Concern Among Scientists",https://www.nytimes.com/2017/01/26/science/doomsday-clock-countdown-2017.html?searchResultPosition=51,2017/01/26,SCIENCE
Trump’s Lies Pave the Way for an Assault on Voting Rights,https://www.nytimes.com/2017/01/26/opinion/trumps-lies-pave-the-way-for-an-assault-on-voting-rights.html?searchResultPosition=52,2017/01/26,OPINION
"A Presidential Place of Honor, Unfilled for Now",https://www.nytimes.com/2017/01/26/insider/a-presidential-place-of-honor-unfilled-for-now.html?searchResultPosition=53,2017/01/26,TIMES INSIDER
"Thanks to Trump, the Doomsday Clock Advances Toward Midnight",https://www.nytimes.com/2017/01/26/opinion/thanks-to-trump-the-doomsday-clock-advances-toward-midnight.html?searchResultPosition=55,2017/01/26,OPINION
Shia LaBeouf Is Arrested at Anti-Trump Art Show in New York,https://www.nytimes.com/2017/01/26/arts/shia-labeouf-is-arrested-at-anti-trump-art-show-in-new-york.html?searchResultPosition=56,2017/01/26,ARTS
Pence Will Speak at Anti-Abortion Rally,https://www.nytimes.com/2017/01/26/us/politics/march-for-life-mike-pence.html?searchResultPosition=57,2017/01/26,POLITICS
California Today: Taking On Trump Over Sanctuary Cities,https://www.nytimes.com/2017/01/26/us/california-today-sanctuary-cities-trump.html?searchResultPosition=58,2017/01/26,U.S.
Our Existential Climate Fears,https://www.nytimes.com/2017/01/26/podcasts/our-existential-climate-fears.html?searchResultPosition=59,2017/01/26,PODCASTS
New York Today: The Year of the Rooster,https://www.nytimes.com/2017/01/26/nyregion/new-york-today-the-year-of-the-rooster-chinese-lunar-new-year-parade.html?searchResultPosition=60,2017/01/26,NEW YORK
Star of Iranian Film Says She Will Boycott Oscars Over Trump’s Visa Ban,https://www.nytimes.com/2017/01/26/movies/taraneh-alidoosti-boycott-oscars-trump-iranian-film.html?searchResultPosition=42,2017/01/26,MOVIES
"‘Zoot Suit,’ a Pioneering Chicano Play, Comes Full Circle",https://www.nytimes.com/2017/01/26/theater/zoot-suit-a-pioneering-chicano-play-comes-full-circle.html?searchResultPosition=54,2017/01/26,THEATER
How to Save CNN From Itself,https://www.nytimes.com/2017/01/26/opinion/how-to-save-cnn-from-itself.html?searchResultPosition=73,2017/01/26,OPINION
Mexico Takes First Step Before Talks With U.S. on Nafta,https://www.nytimes.com/2017/02/01/world/americas/mexico-nafta-renegotiation-trump-wall.html?searchResultPosition=93,2017/02/01,AMERICAS
"Berkeley Cancels Milo Yiannopoulos Speech, and Donald Trump Tweets Outrage",https://www.nytimes.com/2017/02/01/us/uc-berkeley-milo-yiannopoulos-protest.html?searchResultPosition=92,2017/02/01,U.S.
Judge Orders U.S. to Let In Immigrant Visa Holders,https://www.nytimes.com/2017/02/01/us/politics/california-judge-trump-immigrant-visa-holders.html?searchResultPosition=94,2017/02/01,POLITICS
"Runner-Up Didn’t Make It to Supreme Court, but He Did Get to Altoona",https://www.nytimes.com/2017/02/01/us/supreme-court-runner-up-thomas-hardiman.html?searchResultPosition=95,2017/02/01,U.S.
Raid in Yemen: Risky From the Start and Costly in the End,https://www.nytimes.com/2017/02/01/world/middleeast/donald-trump-yemen-commando-raid-questions.html?searchResultPosition=96,2017/02/01,MIDDLE EAST
Protesters Vow Defiance After Miami Heeds Immigration Order,https://www.nytimes.com/2017/02/01/us/miami-mayor-carlos-gimenez.html?searchResultPosition=97,2017/02/01,U.S.
"After Visa Ban, Hints of Hidden Tension on Mississippi Campus",https://www.nytimes.com/2017/02/01/us/mississippi-state-trump-visa-ban.html?searchResultPosition=99,2017/02/01,U.S.
White House Inc.,https://www.nytimes.com/2017/02/01/opinion/white-house-inc.html?searchResultPosition=100,2017/02/01,OPINION
Trump Pushes Dark View of Islam to Center of U.S. Policy-Making,https://www.nytimes.com/2017/02/01/us/politics/donald-trump-islam.html?searchResultPosition=101,2017/02/01,POLITICS
Trump’s Travel Ban Draws Growing Opposition From Tourism Executives,https://www.nytimes.com/2017/02/01/travel/trump-travel-ban-opposition-tourism-executives.html?searchResultPosition=98,2017/02/01,TRAVEL
"Anthony Scaramucci Won’t Get Announced White House Role, Official Says",https://www.nytimes.com/2017/02/01/us/politics/anthony-scaramucci-china-trump-administration.html?searchResultPosition=103,2017/02/01,POLITICS
Veterans Affairs Nominee Vows Not to Privatize Health Care,https://www.nytimes.com/2017/02/01/us/david-shulkin-veterans-affairs.html?searchResultPosition=104,2017/02/01,U.S.
"Fearful of Hacking, Dutch Will Count Ballots by Hand",https://www.nytimes.com/2017/02/01/world/europe/netherlands-hacking-concerns-hand-count-ballots.html?searchResultPosition=105,2017/02/01,EUROPE
Staten Island Groundhog Didn’t See Mayor’s Shadow,https://www.nytimes.com/2017/02/01/nyregion/staten-island-groundhog-mayor-bill-de-blasio-chuck.html?searchResultPosition=106,2017/02/01,NEW YORK
A Different Super Bowl Matchup: Politics vs. the N.F.L.,https://www.nytimes.com/2017/02/01/sports/super-bowl-politics-trump-nfl.html?searchResultPosition=107,2017/02/01,N.F.L.
Conservative Groups Unify to Push Neil Gorsuch’s Confirmation,https://www.nytimes.com/2017/02/01/us/politics/neil-gorsuch-conservative-confirmation.html?searchResultPosition=108,2017/02/01,POLITICS
Trump’s Black History Talk: From Douglass to Media Bias and Crime,https://www.nytimes.com/2017/02/01/us/politics/trump-black-history-douglass.html?searchResultPosition=109,2017/02/01,POLITICS
Donald Trump’s Longtime Doctor Says President Takes Hair-Growth Drug,https://www.nytimes.com/2017/02/01/us/politics/trump-prostate-drug-hair-harold-bornstein.html?searchResultPosition=102,2017/02/01,POLITICS
Judge Orders Trump-Owned Golf Resort to Pay Millions,https://www.nytimes.com/2017/02/01/us/politics/donald-trump-golf.html?searchResultPosition=110,2017/02/01,POLITICS
How ISIS Benefits From Trump’s Ban on Syrians,https://www.nytimes.com/2017/02/02/opinion/how-isis-benefits-from-trumps-ban-on-syrians.html?searchResultPosition=58,2017/02/02,OPINION
Deal Advisers Face a Tricky Period for M.&A.,https://www.nytimes.com/2017/02/02/business/dealbook/deal-advisers-face-a-tricky-period-for-ma.html?searchResultPosition=29,2017/02/02,DEALBOOK
Case Study in Chaos: How Management Experts Grade a Trump White House,https://www.nytimes.com/2017/02/02/business/donald-trump-management-style.html?searchResultPosition=56,2017/02/02,BUSINESS
"The Johnson Amendment, Which Trump Vows to ‘Destroy,’ Explained",https://www.nytimes.com/2017/02/02/us/politics/johnson-amendment-trump.html?searchResultPosition=53,2017/02/02,POLITICS
Trump Vows to ‘Destroy’ Law Banning Political Endorsements by Churches,https://www.nytimes.com/2017/02/02/us/politics/trump-johnson-amendment-political-activity-churches.html?searchResultPosition=54,2017/02/02,POLITICS
New York Times Co.’s Decline in Print Advertising Tempered by Digital Gains,https://www.nytimes.com/2017/02/02/business/media/new-york-times-q4-earnings.html?searchResultPosition=59,2017/02/02,MEDIA
"Matthew McConaughey Lectures Hollywood on Trump, and Breitbart Pounces",https://www.nytimes.com/2017/02/02/movies/matthew-mcconaughey-trump-hollywood-breitbart.html?searchResultPosition=55,2017/02/02,MOVIES
California Today: The Collapse of Organized Farm Labor,https://www.nytimes.com/2017/02/02/us/california-today-farmworker-unions.html?searchResultPosition=60,2017/02/02,U.S.
Curing Partisanship,https://www.nytimes.com/2017/02/02/opinion/curing-partisanship.html?searchResultPosition=57,2017/02/02,OPINION
